campaign_id,campaign_rank_desc,diagnostic_accept_score,campaign_score_percentile_desc,pair_id,image_id,layout_spec_id,feature_snapshot_id
phase1b_botanical_spring_program,3,0.9885355443667885,0.96,phase1b_botanical_spring_program__raw_8deb1c497d__layout_top_left_bottom_left,raw_8deb1c497d,layout_top_left_bottom_left,feat_v2_2_2__phase1b_botanical_spring_program__raw_8deb1c497d__layout_top_left_bottom_left
phase1b_botanical_spring_program,4,0.9740835202697783,0.94,phase1b_botanical_spring_program__raw_780275f394__layout_top_left_bottom_left,raw_780275f394,layout_top_left_bottom_left,feat_v2_2_2__phase1b_botanical_spring_program__raw_780275f394__layout_top_left_bottom_left
phase1b_botanical_spring_program,5,0.9599583213919617,0.92,phase1b_botanical_spring_program__raw_41179036b8__layout_top_left_bottom_left,raw_41179036b8,layout_top_left_bottom_left,feat_v2_2_2__phase1b_botanical_spring_program__raw_41179036b8__layout_top_left_bottom_left
phase1b_botanical_spring_program,6,0.9572430768961097,0.9,phase1b_botanical_spring_program__raw_e1064a803d__layout_top_left_bottom_left,raw_e1064a803d,layout_top_left_bottom_left,feat_v2_2_2__phase1b_botanical_spring_program__raw_e1064a803d__layout_top_left_bottom_left
phase1b_botanical_spring_program,7,0.9069804678557993,0.88,phase1b_botanical_spring_program__raw_50d3d9c9da__layout_top_left_bottom_left,raw_50d3d9c9da,layout_top_left_bottom_left,feat_v2_2_2__phase1b_botanical_spring_program__raw_50d3d9c9da__layout_top_left_bottom_left
phase1b_botanical_spring_program,8,0.895148253778262,0.86,phase1b_botanical_spring_program__raw_22d63fd86a__layout_top_left_bottom_left,raw_22d63fd86a,layout_top_left_bottom_left,feat_v2_2_2__phase1b_botanical_spring_program__raw_22d63fd86a__layout_top_left_bottom_left
phase1b_botanical_spring_program,9,0.8196537723577897,0.84,phase1b_botanical_spring_program__raw_19c9aa3ffa__layout_top_left_bottom_left,raw_19c9aa3ffa,layout_top_left_bottom_left,feat_v2_2_2__phase1b_botanical_spring_program__raw_19c9aa3ffa__layout_top_left_bottom_left
phase1b_botanical_spring_program,10,0.8151449957010837,0.8200000000000001,phase1b_botanical_spring_program__raw_31b278973b__layout_top_left_bottom_left,raw_31b278973b,layout_top_left_bottom_left,feat_v2_2_2__phase1b_botanical_spring_program__raw_31b278973b__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,1,0.9975375155523881,1.0,phase1b_indoor_gallery_winter_art__raw_0f37eb334a__layout_top_left_bottom_left,raw_0f37eb334a,layout_top_left_bottom_left,feat_v2_2_2__phase1b_indoor_gallery_winter_art__raw_0f37eb334a__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,2,0.9917047097362695,0.98,phase1b_indoor_gallery_winter_art__raw_dbff971c57__layout_top_left_bottom_left,raw_dbff971c57,layout_top_left_bottom_left,feat_v2_2_2__phase1b_indoor_gallery_winter_art__raw_dbff971c57__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,3,0.9886103799775455,0.96,phase1b_indoor_gallery_winter_art__raw_d3b6daf541__layout_top_left_bottom_left,raw_d3b6daf541,layout_top_left_bottom_left,feat_v2_2_2__phase1b_indoor_gallery_winter_art__raw_d3b6daf541__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,4,0.963564288092956,0.94,phase1b_indoor_gallery_winter_art__raw_85061583f9__layout_top_left_bottom_left,raw_85061583f9,layout_top_left_bottom_left,feat_v2_2_2__phase1b_indoor_gallery_winter_art__raw_85061583f9__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,5,0.9587024629036067,0.92,phase1b_indoor_gallery_winter_art__raw_61fc86118e__layout_top_left_bottom_left,raw_61fc86118e,layout_top_left_bottom_left,feat_v2_2_2__phase1b_indoor_gallery_winter_art__raw_61fc86118e__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,6,0.9563742196047965,0.9,phase1b_indoor_gallery_winter_art__raw_50d3d9c9da__layout_top_left_bottom_left,raw_50d3d9c9da,layout_top_left_bottom_left,feat_v2_2_2__phase1b_indoor_gallery_winter_art__raw_50d3d9c9da__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,7,0.9533974462236663,0.88,phase1b_indoor_gallery_winter_art__raw_a2c7f6c5ab__layout_top_left_bottom_left,raw_a2c7f6c5ab,layout_top_left_bottom_left,feat_v2_2_2__phase1b_indoor_gallery_winter_art__raw_a2c7f6c5ab__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,8,0.9507264684232319,0.86,phase1b_indoor_gallery_winter_art__raw_31b278973b__layout_top_left_bottom_left,raw_31b278973b,layout_top_left_bottom_left,feat_v2_2_2__phase1b_indoor_gallery_winter_art__raw_31b278973b__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,9,0.9499931791594103,0.84,phase1b_indoor_gallery_winter_art__raw_4e6c171e96__layout_top_left_bottom_left,raw_4e6c171e96,layout_top_left_bottom_left,feat_v2_2_2__phase1b_indoor_gallery_winter_art__raw_4e6c171e96__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,10,0.9492127054863219,0.8200000000000001,phase1b_indoor_gallery_winter_art__raw_b9b0d9734b__layout_top_left_bottom_left,raw_b9b0d9734b,layout_top_left_bottom_left,feat_v2_2_2__phase1b_indoor_gallery_winter_art__raw_b9b0d9734b__layout_top_left_bottom_left
phase1b_summer_garden_walk,1,0.9991561676685543,1.0,phase1b_summer_garden_walk__raw_681edda32e__layout_top_left_bottom_left,raw_681edda32e,layout_top_left_bottom_left,feat_v2_2_2__phase1b_summer_garden_walk__raw_681edda32e__layout_top_left_bottom_left
phase1b_summer_garden_walk,2,0.9965418805103715,0.98,phase1b_summer_garden_walk__raw_9b34fc0214__layout_top_left_bottom_left,raw_9b34fc0214,layout_top_left_bottom_left,feat_v2_2_2__phase1b_summer_garden_walk__raw_9b34fc0214__layout_top_left_bottom_left
phase1b_summer_garden_walk,3,0.9937742118769095,0.96,phase1b_summer_garden_walk__raw_b37dfe627b__layout_top_left_bottom_left,raw_b37dfe627b,layout_top_left_bottom_left,feat_v2_2_2__phase1b_summer_garden_walk__raw_b37dfe627b__layout_top_left_bottom_left
phase1b_summer_garden_walk,4,0.991906486581632,0.94,phase1b_summer_garden_walk__raw_8deb1c497d__layout_top_left_bottom_left,raw_8deb1c497d,layout_top_left_bottom_left,feat_v2_2_2__phase1b_summer_garden_walk__raw_8deb1c497d__layout_top_left_bottom_left
phase1b_summer_garden_walk,5,0.9664827935138222,0.92,phase1b_summer_garden_walk__raw_e1064a803d__layout_top_left_bottom_left,raw_e1064a803d,layout_top_left_bottom_left,feat_v2_2_2__phase1b_summer_garden_walk__raw_e1064a803d__layout_top_left_bottom_left
phase1b_summer_garden_walk,6,0.940330324132915,0.9,phase1b_summer_garden_walk__raw_88ef9cd227__layout_top_left_bottom_left,raw_88ef9cd227,layout_top_left_bottom_left,feat_v2_2_2__phase1b_summer_garden_walk__raw_88ef9cd227__layout_top_left_bottom_left
phase1b_summer_garden_walk,7,0.9293961367042625,0.88,phase1b_summer_garden_walk__raw_e6b27b849a__layout_top_left_bottom_left,raw_e6b27b849a,layout_top_left_bottom_left,feat_v2_2_2__phase1b_summer_garden_walk__raw_e6b27b849a__layout_top_left_bottom_left
phase1b_summer_garden_walk,8,0.9247274305914582,0.86,phase1b_summer_garden_walk__raw_41179036b8__layout_top_left_bottom_left,raw_41179036b8,layout_top_left_bottom_left,feat_v2_2_2__phase1b_summer_garden_walk__raw_41179036b8__layout_top_left_bottom_left
phase1b_summer_garden_walk,9,0.8528093901629138,0.84,phase1b_summer_garden_walk__raw_50d3d9c9da__layout_top_left_bottom_left,raw_50d3d9c9da,layout_top_left_bottom_left,feat_v2_2_2__phase1b_summer_garden_walk__raw_50d3d9c9da__layout_top_left_bottom_left
phase1b_summer_garden_walk,10,0.830450757182221,0.8200000000000001,phase1b_summer_garden_walk__raw_0c5ae66373__layout_top_left_bottom_left,raw_0c5ae66373,layout_top_left_bottom_left,feat_v2_2_2__phase1b_summer_garden_walk__raw_0c5ae66373__layout_top_left_bottom_left
