embedding_row,image_id,path,resolved_path,category,source_group,place_name,subject_name,model_name,embedding_version,embedding_dim
23,raw_8b1075a2ae,arbor/tree/산수유나무/nature14_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/tree/산수유나무/nature14_1.jpg,arbor,tree,,산수유나무,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
24,raw_95003c4a96,arbor/tree/소나무/nature18_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/tree/소나무/nature18_1.jpg,arbor,tree,,소나무,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
25,raw_5fc542c1f1,arbor/tree/소사나무/nature4_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/tree/소사나무/nature4_1.jpg,arbor,tree,,소사나무,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
26,raw_12f7b0ac6f,arbor/tree/소사나무/nature4_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/tree/소사나무/nature4_2.jpg,arbor,tree,,소사나무,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
27,raw_502843a887,arbor/tree/팥배나무/nature12_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/tree/팥배나무/nature12_1.jpg,arbor,tree,,팥배나무,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
28,raw_4c231302c4,course/고송길.jpg,/Users/ksc/python/cap_project/reranker/data/raw/course/고송길.jpg,course,course,고송길,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
29,raw_83afcab58c,course/모과길.jpg,/Users/ksc/python/cap_project/reranker/data/raw/course/모과길.jpg,course,course,모과길,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
30,raw_67ac209ecc,course/목련길.jpg,/Users/ksc/python/cap_project/reranker/data/raw/course/목련길.jpg,course,course,목련길,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
31,raw_e9b4c4e62c,course/백일홍길.jpg,/Users/ksc/python/cap_project/reranker/data/raw/course/백일홍길.jpg,course,course,백일홍길,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
32,raw_bd5e1ed808,gallery/건축/가가빈빈/space13_1_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/가가빈빈/space13_1_2.jpg,gallery,건축,가가빈빈,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
33,raw_fcc719818b,gallery/건축/가가빈빈/가가빈빈.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/가가빈빈/가가빈빈.jpg,gallery,건축,가가빈빈,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
34,raw_85061583f9,gallery/건축/내심낙원/space4_1_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/내심낙원/space4_1_1.jpg,gallery,건축,내심낙원,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
35,raw_3c9ded0c31,gallery/건축/내심낙원/space4_1_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/내심낙원/space4_1_2.jpg,gallery,건축,내심낙원,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
36,raw_34afd0c0b1,gallery/건축/내심낙원/space4_1_3.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/내심낙원/space4_1_3.jpg,gallery,건축,내심낙원,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
37,raw_d64c6196f5,gallery/건축/내심낙원/space4_3_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/내심낙원/space4_3_1.jpg,gallery,건축,내심낙원,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
38,raw_172c623e65,gallery/건축/내심낙원/space4_3_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/내심낙원/space4_3_2.jpg,gallery,건축,내심낙원,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
39,raw_d4519f9f1c,gallery/건축/내심낙원/space4_3_3.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/내심낙원/space4_3_3.jpg,gallery,건축,내심낙원,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
40,raw_01461f5add,gallery/건축/내심낙원/space4_4_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/내심낙원/space4_4_1.jpg,gallery,건축,내심낙원,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
41,raw_a2e4454028,gallery/건축/내심낙원/space4_4_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/내심낙원/space4_4_2.jpg,gallery,건축,내심낙원,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
42,raw_297d31b4ef,gallery/건축/내심낙원/space4_4_3.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/내심낙원/space4_4_3.jpg,gallery,건축,내심낙원,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
43,raw_7a7dc4ec93,gallery/건축/내심낙원/space4_4_4.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/내심낙원/space4_4_4.jpg,gallery,건축,내심낙원,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
44,raw_02637927ae,gallery/건축/명정/space10_1_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/명정/space10_1_1.jpg,gallery,건축,명정,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
45,raw_4220680f47,gallery/건축/명정/space10_1_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/명정/space10_1_2.jpg,gallery,건축,명정,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
46,raw_c6acb786d6,gallery/건축/명정/space10_1_3.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/명정/space10_1_3.jpg,gallery,건축,명정,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
47,raw_1eeb7232a9,gallery/건축/명정/space10_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/명정/space10_2.jpg,gallery,건축,명정,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
48,raw_6dbf633ec2,gallery/건축/명정/space10_3_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/명정/space10_3_1.jpg,gallery,건축,명정,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
49,raw_6ff92895f4,gallery/건축/명정/space10_3_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/명정/space10_3_2.jpg,gallery,건축,명정,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
50,raw_cd25401948,gallery/건축/명정/space10_3_3.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/명정/space10_3_3.jpg,gallery,건축,명정,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
51,raw_c52de39b35,gallery/건축/명정/space10_4_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/명정/space10_4_1.jpg,gallery,건축,명정,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
52,raw_ff74488cd9,gallery/건축/명정/space10_4_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/명정/space10_4_2.jpg,gallery,건축,명정,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
53,raw_2f24639a54,gallery/건축/명정/space10_4_3.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/명정/space10_4_3.jpg,gallery,건축,명정,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
54,raw_9fe8761d5a,gallery/건축/명정/space10_4_4.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/명정/space10_4_4.jpg,gallery,건축,명정,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
55,raw_ba590eff03,gallery/건축/명정/space10_4_5.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/명정/space10_4_5.jpg,gallery,건축,명정,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
56,raw_42302a40a4,gallery/건축/명정/space10_4_6.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/명정/space10_4_6.jpg,gallery,건축,명정,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
57,raw_d2f0a2ca62,gallery/건축/명정/space10_4_7.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/명정/space10_4_7.jpg,gallery,건축,명정,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
58,raw_ad4baaeb29,gallery/건축/명정/명정.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/명정/명정.jpg,gallery,건축,명정,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
59,raw_34da4bc897,gallery/건축/몽몽미방/space7_1_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_1_1.jpg,gallery,건축,몽몽미방,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
60,raw_4b3c524f29,gallery/건축/몽몽미방/space7_1_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_1_2.jpg,gallery,건축,몽몽미방,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
61,raw_681edda32e,gallery/건축/몽몽미방/space7_1_3.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_1_3.jpg,gallery,건축,몽몽미방,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
62,raw_7f5320f89f,gallery/건축/몽몽미방/space7_3_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_3_1.jpg,gallery,건축,몽몽미방,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
63,raw_f960417590,gallery/건축/몽몽미방/space7_3_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_3_2.jpg,gallery,건축,몽몽미방,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
64,raw_0f37eb334a,gallery/건축/몽몽미방/space7_3_3.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_3_3.jpg,gallery,건축,몽몽미방,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
65,raw_19c9aa3ffa,gallery/건축/몽몽미방/space7_4_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_4_1.jpg,gallery,건축,몽몽미방,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
66,raw_e4033ce404,gallery/건축/몽몽미방/space7_4_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_4_2.jpg,gallery,건축,몽몽미방,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
67,raw_bd98826b6e,gallery/건축/몽몽미방/space7_4_3.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_4_3.jpg,gallery,건축,몽몽미방,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
68,raw_a80ee2ac82,gallery/건축/몽몽미방/space7_4_4.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_4_4.jpg,gallery,건축,몽몽미방,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
69,raw_4e6c171e96,gallery/건축/몽몽미방/space7_4_5.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_4_5.jpg,gallery,건축,몽몽미방,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
70,raw_448aa545e9,gallery/건축/몽몽미방/space7_4_6.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_4_6.jpg,gallery,건축,몽몽미방,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
71,raw_70729accac,gallery/건축/몽몽미방/space7_4_7.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_4_7.jpg,gallery,건축,몽몽미방,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
72,raw_572e8cc431,gallery/건축/몽몽미방/space7_4_8.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_4_8.jpg,gallery,건축,몽몽미방,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
73,raw_476995f1f8,gallery/건축/몽몽미방/사담.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/사담.jpg,gallery,건축,몽몽미방,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
74,raw_df10c75c57,gallery/건축/소대/space12_1_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소대/space12_1_2.jpg,gallery,건축,소대,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
75,raw_7b442fcf54,gallery/건축/소대/space12_1_3.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소대/space12_1_3.jpg,gallery,건축,소대,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
76,raw_05886ac033,gallery/건축/소대/space12_3_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소대/space12_3_1.jpg,gallery,건축,소대,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
77,raw_4d7ddf3045,gallery/건축/소대/space12_3_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소대/space12_3_2.jpg,gallery,건축,소대,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
78,raw_36390c31f3,gallery/건축/소대/space12_3_3.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소대/space12_3_3.jpg,gallery,건축,소대,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
79,raw_c01d2de4c0,gallery/건축/소대/space12_4_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소대/space12_4_1.jpg,gallery,건축,소대,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
80,raw_1f83bfb714,gallery/건축/소대/space12_4_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소대/space12_4_2.jpg,gallery,건축,소대,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
81,raw_adbcc4e82d,gallery/건축/소대/소대.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소대/소대.jpg,gallery,건축,소대,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
82,raw_0c55ceb0d6,gallery/건축/소요헌/space3_1_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소요헌/space3_1_2.jpg,gallery,건축,소요헌,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
83,raw_7669ab0f41,gallery/건축/소요헌/space3_1_3.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소요헌/space3_1_3.jpg,gallery,건축,소요헌,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
84,raw_d9022526d3,gallery/건축/소요헌/space3_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소요헌/space3_2.jpg,gallery,건축,소요헌,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
85,raw_dbff971c57,gallery/건축/소요헌/space3_3_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소요헌/space3_3_1.jpg,gallery,건축,소요헌,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
86,raw_6235d6911c,gallery/건축/소요헌/space3_3_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소요헌/space3_3_2.jpg,gallery,건축,소요헌,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
87,raw_9d4a2beade,gallery/건축/소요헌/space3_3_3.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소요헌/space3_3_3.jpg,gallery,건축,소요헌,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
88,raw_2507ee3d61,gallery/건축/소요헌/space3_4_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소요헌/space3_4_1.jpg,gallery,건축,소요헌,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
89,raw_06196affb7,gallery/건축/소요헌/space3_4_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소요헌/space3_4_2.jpg,gallery,건축,소요헌,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
90,raw_393d36f0f3,gallery/건축/소요헌/space3_4_3.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소요헌/space3_4_3.jpg,gallery,건축,소요헌,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
91,raw_0600563ca5,gallery/건축/소요헌/space3_4_4.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소요헌/space3_4_4.jpg,gallery,건축,소요헌,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
92,raw_241fc7cc41,gallery/건축/소요헌/space3_4_5.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소요헌/space3_4_5.jpg,gallery,건축,소요헌,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
93,raw_8c0863102b,gallery/건축/소요헌/space3_4_6.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소요헌/space3_4_6.jpg,gallery,건축,소요헌,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
94,raw_3dd9d4dbb4,gallery/건축/소요헌/소요헌.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소요헌/소요헌.jpg,gallery,건축,소요헌,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
95,raw_81f6126162,gallery/건축/심포니6/space18_1_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/심포니6/space18_1_1.jpg,gallery,건축,심포니6,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
96,raw_3458f4c869,gallery/건축/심포니6/space18_4_1.png,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/심포니6/space18_4_1.png,gallery,건축,심포니6,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
97,raw_faf2998d9e,gallery/건축/심포니6/space18_4_2.png,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/심포니6/space18_4_2.png,gallery,건축,심포니6,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
98,raw_f75d8b6c40,gallery/건축/심포니6/space18_4_3.png,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/심포니6/space18_4_3.png,gallery,건축,심포니6,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
99,raw_dbc4569a46,gallery/건축/와사/space6_1_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/와사/space6_1_1.jpg,gallery,건축,와사,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
100,raw_2c3293b2b9,gallery/건축/와사/space6_1_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/와사/space6_1_2.jpg,gallery,건축,와사,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
101,raw_7d9c212a70,gallery/건축/와사/space6_1_3.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/와사/space6_1_3.jpg,gallery,건축,와사,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
102,raw_4e39435909,gallery/건축/와사/space6_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/와사/space6_2.jpg,gallery,건축,와사,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
103,raw_4584fbd0b1,gallery/건축/와사/space6_3_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/와사/space6_3_1.jpg,gallery,건축,와사,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
104,raw_9ac74477e7,gallery/건축/와사/space6_3_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/와사/space6_3_2.jpg,gallery,건축,와사,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
105,raw_a676b111ec,gallery/건축/와사/space6_3_3.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/와사/space6_3_3.jpg,gallery,건축,와사,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
106,raw_da7cf8faa0,gallery/건축/와사/space6_4_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/와사/space6_4_1.jpg,gallery,건축,와사,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
107,raw_97eb3ef7cd,gallery/건축/와사/space6_4_10.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/와사/space6_4_10.jpg,gallery,건축,와사,,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
